hour,avg_price_eur_mwh,avg_solar_pv_mwh,avg_wind_total_mwh,n_hours
0,93.80924999999999,0.0,22247.761000000002,40
1,92.012,0.0,21897.34475,40
2,90.517,0.0,21675.27225,40
3,89.46675,0.0,21512.97075,40
4,89.55799999999999,0.0,21477.945249999997,40
5,92.6725,0.0,21430.70925,40
6,103.54625000000001,0.013500000000000002,21758.655,40
7,121.1555,67.53025,21651.894500000002,40
8,131.99775,1311.7772499999999,21486.409,40
9,126.4805,4813.07025,20836.4005,40
10,117.26975,8929.04775,20066.17775,40
11,109.31099999999999,12058.90825,19205.087,40
12,103.2135,13304.84775,18661.3055,40
13,101.49775,12397.944,18536.48375,40
14,106.55375,9533.08575,18562.136749999998,40
15,116.09224999999999,5336.761,19065.859,40
16,127.9885,1530.70725,20152.2025,40
17,141.62349999999998,95.90975,21429.06725,40
18,138.31375,0.10175000000000001,22379.069750000002,40
19,128.9905,0.0020512820512820513,23459.643076923076,40
20,115.19075000000001,0.0,23563.683076923076,40
21,107.09049999999999,0.0,23487.000512820512,40
22,103.88525,0.0,22654.325128205128,40
23,95.5125,0.0,22411.883846153847,40
